AL HADEED TRADERS
Chart of Inventory Items
1 	OIl
Atlas Oil	101
1010001 	Atlas 20W50 SG 3L
1010002 	Atlas 20W50 SG 4L
1010005 	Atlas 10W40 HIVO+ 3L
1010006 	Atlas 10W40 HIVO+ 4L
1010007 	Atlas 20W50 SM 3L
1010008 	Atlas 20W50 SM 4L
1010009 	Atlas-500 15W40 4L
1010010 	Atlas-500 15W40 10L
1010011 	Atlas 5W30 SP 3L
1010012 	Atlas 5W30 SP 4L
1010013 	Atlas 0W20 SP 3L
1010014 	Atlas 0W20 SP 4L
1010015 	Atlas-500 15W40 (Dram)
1010016 	Atlas-400 20W50 CF-4 4L
1010017 	Atlas-400 20W50 CF-4 10L
1010018 	Atlas-400 20W50 CF-4 (Dram)
1010019 	Atlas-300 50 CD 4L
1010020 	Atlas-300 50 CD 10L
1010021 	Atlas-300 50 CD (Dram)
1010022 	Atlas-200 50 CC 4L
1010023 	Atlas-200 50 CC 5L
1010024 	Atlas-200 50 CC (Dram)
1010025 	Atlas GL-4 80W90
1010026 	Atlas GL-5 85W140
1010027 	Atlas GL-5 EP 140 3L
1010028 	Atlas ATF Dexron lll
1010029 	Atlas Coolant R/G 1L
1010030 	Atlas Battery Tonic 1L
1010031 	Atlas Hydraulic Oil HO-68 10L
1010032 	Atlas Hydraulic Oil HO-68 20L
1010033 	Atlas Hydraulic Oil HO-68 (Dram)
1010034 	Atlas Hydraulic Oil HD-68 20L
1010035 	Atlas Hydraulic Oil HD-68 (Dram)
1010036 	Atlas HD50 20L
1010037 	700 Atlas HD50 (Dram)
1010038 	Atlas HONDA 20W50 700ml
1010039 	Atlas HONDA 20W50 IL
1010040 	Atlas HONDA 10W30 IL
1010041 	Atlas 20W50 CF/SF (Dram)
1010042 	Atlas Coolant R/G 4L
1010043 	Atlas 20W50 SG (Dram)
1010044 	Atlas 20W50 CF ECO 20L
1010045 	Atlas HD50 5L
1010046 	Atlas HD50 10L
1010047 	test items
1010048 	Atlas HONDA 10W30 700ml
1010049 	Atlas 20W50 CF/SF 4L
1010050 	Atlas 20W50 CF/SF 10L
Shell	102
1020001 	Shell HX6 10W40 3L
Page 1 of 8	Date 5/14/2026 	Printed By: Administrator

-- 1 of 8 --

1020002 	Shell HX6 10W40 4L
1020003 	Shell HX3 20W50 3L
1020004 	Shell HX3 20W50 4L
1020005 	Shell HX7 5W30 3L
1020006 	Shell HX7 5W30 4L
Caltex	103
1030001 	Havoline 20W50 SG 3L
1030002 	Havoline 20W50 SG 4L
1030003 	Delo 400 20W50 4L
1030004 	Delo 400 20W50 10L
1030005 	Delo 500 15W40 4L
1030006 	Havoline 10W30 3L
1030007 	Havoline 10W30 4L
Oil PK	104
1040001 	ATF 1L PK
1040002 	ATF 700ML PK
1040003 	ATF ROYAL 1L
1040004 	GEAR OIL SAE140 PK 1L
1040005 	GEAR OIL 85W140 PK 4L
1040006 	FIX Coolant PK
1040007 	Hydraulc Oil Green RITE 10L
1040008 	Hydraulc Oil RIMS 10L
1040009 	Hydraulc Oil PK Rad 20L
1040010 	Hydraulc Oil PK Blue 20L
1040011 	Hydraulc Oil PK Gallon 20L
1040012 	550 20W50 PK
1040013 	GEAR OIL SAE140 PK 4L
1040014 	M5 700ML (RIMS)
1040015 	CARBEN GEAR OIL 20L
1040016 	ZEPIX G3 700ML
1040017 	Hydraulc Oil PK KHAIEJ STAR 20L
1040018 	NEEDEX GEAR OIL EP-140 PK 4L
1040019 	Irani oil Gallon 20L
1040020 	600 PANA SAE50
1040021 	BEHRAN 20W50 4L
Castrol	105
1050001 	20W50 GTX 4L
1050002 	20W50 GTX 3L
Two Stroke Engine Oil	106
1060001 	Two Stroke Engine Oil E-2
Total Number of Items :- 85
10 	Vehicle Accessories
Vehicle Accessories	1001
10010001 	Car Matting PVC
10010002 	Shezore Matting PVC
10010003 	Suzuki Matting PVC
10010004 	MXXIS Booster Cable 1000A
10010005 	(SOGO) Ashtray
10010006 	Car Ashtray
10010007 	Ashtray
10010008 	Tissue Virsa
10010009 	Tissue Naqoosh
10010010 	Tissue Box
10010011 	Seat Cover
10010012 	Car Cover Top
Page 2 of 8	Date 5/14/2026 	Printed By: Administrator

-- 2 of 8 --

10010013 	Tissue Rose Petal
10010014 	NAT NO14
USB Charger	1002
10020001 	USB Charger Car
10020002 	USB Charger SMART
Ke Chan	1003
10030001 	Ke Chan
10030002 	Ke Chan
10030003 	Ke Chan
10030004 	Ke Chan
10030005 	Ke Chan
10030006 	Ke Chan
Seat Belt Clip	1004
10040001 	Seat Belt Clip single
10040002 	Seat Belt Clip Black Pair
10040003 	Seat Belt Clip Lider
Total Number of Items :- 25
2 	Filter
Oil Fliter	201
2010001 	Oil Fliter EE 4005
2010002 	Oil Fliter EE 3349
2010003 	Oil Fliter EE 1780
2010004 	Oil Fliter EE 1732
2010005 	Oil Fliter EE 1381
2010006 	Oil Fliter EE 702
2010007 	Oil Fliter EE 531
2010008 	Oil Fliter EE 381
2010009 	Oil Fliter EE 368
2010010 	Oil Fliter EE 358
2010011 	Oil Fliter EE 357
2010012 	Oil Fliter EE 353
2010013 	Oil Fliter EE 352
2010014 	Oil Fliter EE 351
2010015 	Oil Fliter EE 306
2010016 	Oil Fliter EE 274
2010017 	Oil Fliter EE 265
2010018 	Oil Fliter EE 263
2010019 	Oil Fliter EE 252
2010020 	Oil Fliter EE 237
2010021 	Oil Fliter EE 225
2010022 	Oil Fliter EE 205
2010023 	Oil Fliter EE 199
2010024 	Oil Fliter EE 195
2010025 	Oil Fliter EE 188
2010026 	Oil Fliter EE 177
2010027 	Oil Fliter EE 176
2010028 	Oil Fliter EE 174
2010029 	Oil Fliter EE 170
2010030 	Oil Fliter EE 168
2010031 	Oil Fliter EE 164
2010032 	Oil Fliter EE 158
2010033 	Oil Fliter EE 157
2010034 	Oil Fliter EE 152
2010035 	Oil Fliter EE 151
2010036 	Oil Fliter EE 113
Page 3 of 8	Date 5/14/2026 	Printed By: Administrator

-- 3 of 8 --

2010037 	Oil Fliter EE 111
2010038 	Oil Fliter EE 101
2010039 	Oil Fliter EE 95
2010040 	Oil FliterEE 80
2010041 	Oil Fliter EE 83
2010042 	Oil Fliter EE 76
